doc_path,year,n_sentences,count_hawkish,count_dovish,count_neutral,score_doc
minutes_text_clean\2000\fomcminutes-20000321_singleline.txt,2000,100,57,14,29,0.43
minutes_text_clean\2001\fomcminutes-20010627_singleline.txt,2001,114,36,43,35,-0.061404
minutes_text_clean\2002\fomcminutes-20020319_singleline.txt,2002,106,50,23,33,0.254717
minutes_text_clean\2003\fomcminutes-20030625_singleline.txt,2003,112,56,30,26,0.232143
minutes_text_clean\2004\fomcminutes-20040630_singleline.txt,2004,112,75,10,27,0.580357
minutes_text_clean\2005\fomcminutes-20050920_singleline.txt,2005,91,59,11,21,0.527473
minutes_text_clean\2006\fomcminutes-20060510_singleline.txt,2006,122,69,14,39,0.45082
minutes_text_clean\2007\fomcminutes-20070509_singleline.txt,2007,129,56,37,36,0.147287
minutes_text_clean\2008\fomcminutes-20080916_singleline.txt,2008,137,46,58,33,-0.087591
minutes_text_clean\2009\fomcminutes-20090624_singleline.txt,2009,197,69,59,69,0.050761
minutes_text_clean\2011\fomcminutes-20110622_singleline.txt,2011,168,63,48,57,0.089286
minutes_text_clean\2013\fomcminutes-20130918_singleline.txt,2013,154,55,38,61,0.11039
minutes_text_clean\2015\fomcminutes-20151216_singleline.txt,2015,203,74,64,65,0.049261
minutes_text_clean\2017\fomcminutes-20170920_singleline.txt,2017,213,79,53,81,0.122066
minutes_text_clean\2019\fomcminutes-20190619_singleline.txt,2019,195,59,72,64,-0.066667
minutes_text_clean\2020\fomcminutes-20200610_singleline.txt,2020,212,63,49,100,0.066038
minutes_text_clean\2022\fomcminutes-20220921_singleline.txt,2022,189,64,37,88,0.142857
