date_iso,file_path,token_count,lexicon_hits,sentiment_sum,pos_hits,neg_hits,neu_hits,lexicon_coverage_pct
2000-02-02,minutes_text_clean\2000\fomcminutes-20000202_singleline.txt,8494,1393,121.95,460,176,757,16.3998
2000-03-21,minutes_text_clean\2000\fomcminutes-20000321_singleline.txt,4488,809,95.7,301,99,409,18.0258
2000-05-16,minutes_text_clean\2000\fomcminutes-20000516_singleline.txt,4116,717,69.275,260,113,344,17.4198
2000-06-28,minutes_text_clean\2000\fomcminutes-20000628_singleline.txt,4419,778,51.175,232,137,409,17.6058
2000-08-22,minutes_text_clean\2000\fomcminutes-20000822_singleline.txt,4242,787,67.3,253,121,413,18.5526
2000-10-03,minutes_text_clean\2000\fomcminutes-20001003_singleline.txt,3797,702,49.7,215,123,364,18.4883
2000-11-15,minutes_text_clean\2000\fomcminutes-20001115_singleline.txt,4429,836,44.6,244,173,419,18.8756
2000-12-19,minutes_text_clean\2000\fomcminutes-20001219_singleline.txt,5179,963,43.175,282,198,483,18.5943
2001-01-31,minutes_text_clean\2001\fomcminutes-20010131_singleline.txt,9110,1630,109.325,543,258,829,17.8924
2001-03-20,minutes_text_clean\2001\fomcminutes-20010320_singleline.txt,4862,885,54.0,283,175,427,18.2024
2001-05-15,minutes_text_clean\2001\fomcminutes-20010515_singleline.txt,5035,983,44.375,294,220,469,19.5233
2001-06-27,minutes_text_clean\2001\fomcminutes-20010627_singleline.txt,5008,941,32.4,278,216,447,18.7899
2001-08-21,minutes_text_clean\2001\fomcminutes-20010821_singleline.txt,4854,935,32.225,279,205,451,19.2625
2001-10-02,minutes_text_clean\2001\fomcminutes-20011002_singleline.txt,4421,846,-3.0,242,226,378,19.1359
2001-11-06,minutes_text_clean\2001\fomcminutes-20011106_singleline.txt,4288,816,16.775,237,212,367,19.0299
2001-12-11,minutes_text_clean\2001\fomcminutes-20011211_singleline.txt,4598,861,22.725,247,206,408,18.7255
2002-01-30,minutes_text_clean\2002\fomcminutes-20020130_singleline.txt,8011,1439,101.55,460,215,764,17.9628
2002-03-19,minutes_text_clean\2002\fomcminutes-20020319_singleline.txt,4627,879,63.325,292,153,434,18.9972
