date_iso,matched_trading_date,close,source,align
1936-03-18,1936-03-18,14.86,stooq,next
1936-03-19,1936-03-19,15.06,stooq,next
1936-05-25,1936-05-25,14.25,stooq,next
1936-11-19,1936-11-19,17.3,stooq,next
1936-11-20,1936-11-20,17.13,stooq,next
1937-03-15,1937-03-15,18.14,stooq,next
1937-05-04,1937-05-04,16.73,stooq,next
1937-05-05,1937-05-05,16.59,stooq,next
1937-06-09,1937-06-09,16.04,stooq,next
1937-09-12,1937-09-13,14.23,stooq,next
1937-12-01,1937-12-01,10.97,stooq,next
1938-03-01,1938-03-01,11.46,stooq,next
1938-04-22,1938-04-22,10.45,stooq,next
1938-04-29,1938-04-29,9.78,stooq,next
1938-08-02,1938-08-02,12.41,stooq,next
1938-09-21,1938-09-21,11.96,stooq,next
1938-12-30,1938-12-30,13.14,stooq,next
1939-03-07,1939-03-07,12.85,stooq,next
1939-03-20,1939-03-20,11.95,stooq,next
1939-04-19,1939-04-19,10.79,stooq,next
1939-06-21,1939-06-21,11.52,stooq,next
1939-09-18,1939-09-18,12.47,stooq,next
1939-12-13,1939-12-13,12.38,stooq,next
1940-03-20,1940-03-20,12.14,stooq,next
1940-05-28,1940-05-28,9.19,stooq,next
1940-09-27,1940-09-27,10.58,stooq,next
1940-12-18,1940-12-18,10.44,stooq,next
1941-03-17,1941-03-17,10.03,stooq,next
1941-06-10,1941-06-10,9.82,stooq,next
1941-09-27,1941-09-27,10.13,stooq,next
1941-12-12,1941-12-12,8.73,stooq,next
1942-02-28,1942-02-28,8.59,stooq,next
1942-03-02,1942-03-02,8.47,stooq,next
1942-05-08,1942-05-08,7.89,stooq,next
1942-06-22,1942-06-22,8.25,stooq,next
1942-08-03,1942-08-03,8.57,stooq,next
1942-09-29,1942-09-29,8.85,stooq,next
1942-12-14,1942-12-14,9.42,stooq,next
1943-01-26,1943-01-26,10.35,stooq,next
1943-03-02,1943-03-02,10.84,stooq,next
1943-05-15,1943-05-15,11.73,stooq,next
1943-06-28,1943-06-28,12.32,stooq,next
1943-10-18,1943-10-18,11.85,stooq,next
1944-02-29,1944-02-29,11.82,stooq,next
1944-03-01,1944-03-01,11.87,stooq,next
1944-05-04,1944-05-04,12.01,stooq,next
1944-09-22,1944-09-22,12.65,stooq,next
1944-12-11,1944-12-11,13.17,stooq,next
1945-02-28,1945-02-28,14.3,stooq,next
1945-03-01,1945-03-01,14.32,stooq,next
1945-06-20,1945-06-20,15.18,stooq,next
1945-10-17,1945-10-17,16.66,stooq,next
1946-02-28,1946-02-28,17.28,stooq,next
1946-03-01,1946-03-01,17.21,stooq,next
1946-06-10,1946-06-10,18.85,stooq,next
1946-10-03,1946-10-03,14.98,stooq,next
1947-02-28,1947-02-28,15.43,stooq,next
1947-03-01,1947-03-01,15.44,stooq,next
1947-06-06,1947-06-06,14.5,stooq,next
1947-10-07,1947-10-07,15.28,stooq,next
1947-12-09,1947-12-09,14.82,stooq,next
1948-02-27,1948-02-27,13.93,stooq,next
1948-03-01,1948-03-01,14.07,stooq,next
1948-05-20,1948-05-20,16.46,stooq,next
1948-10-04,1948-10-04,15.85,stooq,next
1948-11-15,1948-11-15,15.27,stooq,next
1948-11-30,1948-11-30,14.75,stooq,next
1949-02-28,1949-02-28,14.62,stooq,next
1949-03-01,1949-03-01,14.71,stooq,next
1949-05-03,1949-05-03,14.85,stooq,next
1949-06-28,1949-06-28,14.0,stooq,next
1949-08-05,1949-08-05,15.35,stooq,next
1949-12-13,1949-12-13,16.64,stooq,next
1950-02-28,1950-02-28,17.22,stooq,next
1950-03-01,1950-03-01,17.24,stooq,next
1950-06-14,1950-06-14,18.98,stooq,next
1950-08-18,1950-08-18,18.68,stooq,next
1950-09-28,1950-09-28,19.42,stooq,next
1950-10-11,1950-10-11,19.86,stooq,next
1950-10-30,1950-10-30,19.61,stooq,next
1950-11-27,1950-11-27,20.18,stooq,next
1951-01-31,1951-01-31,21.66,stooq,next
1951-02-08,1951-02-08,22.09,stooq,next
1951-03-02,1951-03-02,21.93,stooq,next
1951-03-08,1951-03-08,21.95,stooq,next
1951-05-17,1951-05-17,21.91,stooq,next
1951-10-04,1951-10-04,23.72,stooq,next
1951-11-14,1951-11-14,22.85,stooq,next
1952-02-29,1952-02-29,23.26,stooq,next
1952-03-01,1952-03-01,23.28,stooq,next
1952-06-19,1952-06-19,24.51,stooq,next
1952-09-25,1952-09-25,24.81,stooq,next
1952-12-08,1952-12-08,25.76,stooq,next
1953-03-05,1953-03-05,25.79,stooq,next
1953-06-11,1953-06-11,23.75,stooq,next
1953-09-24,1953-09-24,23.24,stooq,next
1953-12-15,1953-12-15,24.71,stooq,next
1954-03-03,1954-03-03,26.32,stooq,next
1954-06-23,1954-06-23,29.13,stooq,next
1954-09-22,1954-09-22,32.0,stooq,next
1954-12-07,1954-12-07,34.92,stooq,next
1955-01-11,1955-01-11,35.68,stooq,next
1955-03-02,1955-03-02,37.15,stooq,next
1955-05-10,1955-05-10,37.85,stooq,next
1955-06-22,1955-06-22,40.6,stooq,next
1955-07-12,1955-07-12,42.75,stooq,next
1955-08-02,1955-08-02,43.03,stooq,next
1955-08-23,1955-08-23,42.55,stooq,next
1955-09-14,1955-09-14,44.99,stooq,next
1955-09-26,1955-09-26,42.61,stooq,next
1955-10-04,1955-10-04,42.82,stooq,next
1955-10-25,1955-10-25,42.63,stooq,next
1955-11-16,1955-11-16,45.91,stooq,next
1955-11-30,1955-11-30,45.51,stooq,next
1955-12-08,1955-12-08,45.82,stooq,next
1955-12-13,1955-12-13,45.45,stooq,next
1956-01-10,1956-01-10,44.16,stooq,next
1956-01-24,1956-01-24,43.65,stooq,next
1956-02-15,1956-02-15,44.04,stooq,next
1956-03-06,1956-03-06,46.04,stooq,next
1956-03-27,1956-03-27,48.25,stooq,next
1956-04-17,1956-04-17,47.93,stooq,next
1956-05-09,1956-05-09,47.94,stooq,next
1956-05-23,1956-05-23,45.02,stooq,next
1956-06-05,1956-06-05,45.86,stooq,next
1956-06-26,1956-06-26,46.72,stooq,next
1956-07-17,1956-07-17,49.31,stooq,next
1956-08-07,1956-08-07,49.16,stooq,next
1956-08-21,1956-08-21,47.89,stooq,next
1956-09-11,1956-09-11,47.38,stooq,next
1956-09-25,1956-09-25,45.75,stooq,next
1956-10-16,1956-10-16,46.62,stooq,next
1956-11-13,1956-11-13,46.27,stooq,next
1956-11-27,1956-11-27,44.91,stooq,next
1956-12-10,1956-12-10,46.8,stooq,next
1957-01-08,1957-01-08,46.25,stooq,next
1957-01-28,1957-01-28,44.49,stooq,next
1957-02-18,1957-02-18,43.46,stooq,next
1957-03-05,1957-03-05,44.22,stooq,next
1957-03-26,1957-03-26,43.91,stooq,next
1957-04-16,1957-04-16,45.02,stooq,next
1957-04-24,1957-04-24,45.72,stooq,next
1957-05-07,1957-05-07,46.13,stooq,next
1957-05-28,1957-05-28,46.69,stooq,next
1957-06-18,1957-06-18,48.04,stooq,next
1957-07-09,1957-07-09,48.9,stooq,next
1957-07-30,1957-07-30,47.92,stooq,next
1957-08-20,1957-08-20,45.29,stooq,next
1957-09-10,1957-09-10,43.87,stooq,next
1957-10-01,1957-10-01,42.76,stooq,next
1957-10-22,1957-10-22,38.98,stooq,next
1957-11-12,1957-11-12,39.6,stooq,next
1957-12-03,1957-12-03,41.37,stooq,next
1957-12-17,1957-12-17,39.42,stooq,next
1958-01-07,1958-01-07,41.0,stooq,next
1958-01-28,1958-01-28,41.63,stooq,next
1958-02-11,1958-02-11,41.11,stooq,next
1958-03-04,1958-03-04,41.35,stooq,next
1958-03-25,1958-03-25,42.44,stooq,next
1958-04-15,1958-04-15,42.43,stooq,next
1958-05-06,1958-05-06,44.01,stooq,next
1958-05-27,1958-05-27,43.79,stooq,next
1958-06-17,1958-06-17,44.94,stooq,next
1958-07-08,1958-07-08,45.4,stooq,next
1958-07-15,1958-07-15,45.11,stooq,next
1958-07-18,1958-07-18,45.77,stooq,next
1958-07-21,1958-07-21,46.33,stooq,next
1958-07-22,1958-07-22,46.41,stooq,next
1958-07-23,1958-07-23,46.4,stooq,next
1958-07-24,1958-07-24,46.65,stooq,next
1958-07-25,1958-07-25,46.97,stooq,next
1958-07-29,1958-07-29,46.96,stooq,next
1958-07-30,1958-07-30,47.09,stooq,next
1958-07-31,1958-07-31,47.19,stooq,next
1958-08-01,1958-08-01,47.49,stooq,next
1958-08-04,1958-08-04,47.94,stooq,next
1958-08-19,1958-08-19,47.3,stooq,next
1958-09-09,1958-09-09,48.46,stooq,next
1958-09-30,1958-09-30,50.06,stooq,next
1958-10-21,1958-10-21,51.27,stooq,next
1958-11-10,1958-11-10,52.57,stooq,next
1958-12-02,1958-12-02,52.46,stooq,next
1958-12-16,1958-12-16,53.57,stooq,next
1959-01-06,1959-01-06,55.59,stooq,next
1959-01-27,1959-01-27,55.78,stooq,next
1959-02-10,1959-02-10,54.32,stooq,next
1959-03-03,1959-03-03,56.25,stooq,next
1959-03-24,1959-03-24,55.96,stooq,next
1959-04-14,1959-04-14,56.71,stooq,next
1959-05-05,1959-05-05,57.75,stooq,next
1959-05-26,1959-05-26,58.09,stooq,next
1959-06-16,1959-06-16,56.56,stooq,next
1959-07-07,1959-07-07,60.01,stooq,next
1959-07-28,1959-07-28,60.32,stooq,next
1959-08-18,1959-08-18,58.62,stooq,next
1959-09-01,1959-09-01,58.87,stooq,next
1959-09-22,1959-09-22,55.14,stooq,next
1959-10-13,1959-10-13,57.16,stooq,next
1959-11-04,1959-11-04,57.26,stooq,next
1959-11-24,1959-11-24,57.35,stooq,next
1959-12-15,1959-12-15,58.9,stooq,next
1960-01-12,1960-01-12,58.41,stooq,next
1960-01-26,1960-01-26,56.86,stooq,next
1960-02-09,1960-02-09,55.84,stooq,next
1960-03-01,1960-03-01,56.01,stooq,next
1960-03-22,1960-03-22,55.29,stooq,next
1960-04-12,1960-04-12,56.3,stooq,next
1960-05-03,1960-05-03,54.83,stooq,next
1960-05-24,1960-05-24,55.7,stooq,next
1960-06-14,1960-06-14,57.91,stooq,next
1960-07-06,1960-07-06,56.94,stooq,next
1960-07-26,1960-07-26,54.51,stooq,next
1960-08-16,1960-08-16,56.72,stooq,next
1960-09-13,1960-09-13,55.83,stooq,next
1960-10-04,1960-10-04,52.99,stooq,next
1960-10-25,1960-10-25,52.2,stooq,next
1960-11-22,1960-11-22,55.72,stooq,next
1960-12-13,1960-12-13,56.88,stooq,next
1961-01-10,1961-01-10,58.97,stooq,next
1961-01-24,1961-01-24,60.45,stooq,next
1961-02-07,1961-02-07,61.65,stooq,next
1961-03-07,1961-03-07,63.47,stooq,next
1961-03-28,1961-03-28,64.38,stooq,next
1961-04-18,1961-04-18,66.2,stooq,next
1961-05-09,1961-05-09,66.47,stooq,next
1961-06-06,1961-06-06,66.89,stooq,next
1961-06-20,1961-06-20,65.15,stooq,next
1961-07-11,1961-07-11,65.69,stooq,next
1961-08-01,1961-08-01,67.37,stooq,next
1961-08-22,1961-08-22,68.44,stooq,next
