date_iso,file_path,token_count,sentiment_sum
2000-02-02,minutes_text_clean\2000\fomcminutes-20000202_singleline.txt,76,0.418616
2000-03-21,minutes_text_clean\2000\fomcminutes-20000321_singleline.txt,70,0.428364
2000-05-16,minutes_text_clean\2000\fomcminutes-20000516_singleline.txt,79,0.416159
2000-06-28,minutes_text_clean\2000\fomcminutes-20000628_singleline.txt,76,0.383621
2000-08-22,minutes_text_clean\2000\fomcminutes-20000822_singleline.txt,79,0.390504
2000-10-03,minutes_text_clean\2000\fomcminutes-20001003_singleline.txt,76,0.301498
2000-11-15,minutes_text_clean\2000\fomcminutes-20001115_singleline.txt,79,0.26962
2000-12-19,minutes_text_clean\2000\fomcminutes-20001219_singleline.txt,92,0.072457
2001-01-31,minutes_text_clean\2001\fomcminutes-20010131_singleline.txt,97,0.049988
2001-03-20,minutes_text_clean\2001\fomcminutes-20010320_singleline.txt,88,0.018734
2001-05-15,minutes_text_clean\2001\fomcminutes-20010515_singleline.txt,99,0.052074
2001-06-27,minutes_text_clean\2001\fomcminutes-20010627_singleline.txt,92,-0.059458
2001-08-21,minutes_text_clean\2001\fomcminutes-20010821_singleline.txt,92,0.071093
2001-10-02,minutes_text_clean\2001\fomcminutes-20011002_singleline.txt,86,0.094308
2001-11-06,minutes_text_clean\2001\fomcminutes-20011106_singleline.txt,93,-0.028672
2001-12-11,minutes_text_clean\2001\fomcminutes-20011211_singleline.txt,101,0.068245
2002-01-30,minutes_text_clean\2002\fomcminutes-20020130_singleline.txt,94,0.072499
2002-03-19,minutes_text_clean\2002\fomcminutes-20020319_singleline.txt,86,0.254852
2002-05-07,minutes_text_clean\2002\fomcminutes-20020507_singleline.txt,87,0.347883
2002-06-26,minutes_text_clean\2002\fomcminutes-20020626_singleline.txt,84,0.267846
2002-08-13,minutes_text_clean\2002\fomcminutes-20020813_singleline.txt,86,0.210416
2002-09-24,minutes_text_clean\2002\fomcminutes-20020924_singleline.txt,81,0.31329
2002-11-06,minutes_text_clean\2002\fomcminutes-20021106_singleline.txt,88,0.148855
2002-12-10,minutes_text_clean\2002\fomcminutes-20021210_singleline.txt,82,0.207324
2003-01-29,minutes_text_clean\2003\fomcminutes-20030129_singleline.txt,85,0.158625
2003-03-18,minutes_text_clean\2003\fomcminutes-20030318_singleline.txt,78,0.222726
2003-05-06,minutes_text_clean\2003\fomcminutes-20030506_singleline.txt,82,0.277675
2003-06-25,minutes_text_clean\2003\fomcminutes-20030625_singleline.txt,87,0.231276
2003-08-12,minutes_text_clean\2003\fomcminutes-20030812_singleline.txt,79,0.343441
2003-09-16,minutes_text_clean\2003\fomcminutes-20030916_singleline.txt,86,0.380189
2003-10-28,minutes_text_clean\2003\fomcminutes-20031028_singleline.txt,84,0.356905
2003-12-09,minutes_text_clean\2003\fomcminutes-20031209_singleline.txt,86,0.27435
2004-01-28,minutes_text_clean\2004\fomcminutes-20040128_singleline.txt,82,0.228924
2004-03-16,minutes_text_clean\2004\fomcminutes-20040316_singleline.txt,87,0.293906
2004-05-04,minutes_text_clean\2004\fomcminutes-20040504_singleline.txt,81,0.331244
2004-06-30,minutes_text_clean\2004\fomcminutes-20040630_singleline.txt,77,0.574942
2004-08-10,minutes_text_clean\2004\fomcminutes-20040810_singleline.txt,80,0.311333
2004-09-21,minutes_text_clean\2004\fomcminutes-20040921_singleline.txt,80,0.344063
2004-11-10,minutes_text_clean\2004\fomcminutes-20041110_singleline.txt,78,0.357543
2004-12-14,minutes_text_clean\2004\fomcminutes-20041214_singleline.txt,87,0.266477
2005-02-02,minutes_text_clean\2005\fomcminutes-20050202_singleline.txt,86,0.317598
2005-03-22,minutes_text_clean\2005\fomcminutes-20050322_singleline.txt,82,0.39795
2005-05-03,minutes_text_clean\2005\fomcminutes-20050503_singleline.txt,88,0.257448
2005-06-30,minutes_text_clean\2005\fomcminutes-20050630_singleline.txt,78,0.318642
2005-08-09,minutes_text_clean\2005\fomcminutes-20050809_singleline.txt,74,0.408984
2005-09-20,minutes_text_clean\2005\fomcminutes-20050920_singleline.txt,84,0.523972
2005-11-01,minutes_text_clean\2005\fomcminutes-20051101_singleline.txt,81,0.39224
2005-12-13,minutes_text_clean\2005\fomcminutes-20051213_singleline.txt,78,0.307584
2006-01-31,minutes_text_clean\2006\fomcminutes-20060131_singleline.txt,77,0.342329
2006-03-28,minutes_text_clean\2006\fomcminutes-20060328_singleline.txt,80,0.377622
2006-05-10,minutes_text_clean\2006\fomcminutes-20060510_singleline.txt,76,0.447872
2006-06-29,minutes_text_clean\2006\fomcminutes-20060629_singleline.txt,77,0.358655
2006-08-08,minutes_text_clean\2006\fomcminutes-20060808_singleline.txt,82,0.391834
2006-09-20,minutes_text_clean\2006\fomcminutes-20060920_singleline.txt,84,0.276579
2006-10-25,minutes_text_clean\2006\fomcminutes-20061025_singleline.txt,85,0.200765
2006-12-12,minutes_text_clean\2006\fomcminutes-20061212_singleline.txt,84,0.199681
2007-01-31,minutes_text_clean\2007\fomcminutes-20070131_singleline.txt,88,0.206585
2007-03-21,minutes_text_clean\2007\fomcminutes-20070321_singleline.txt,82,0.183895
2007-05-09,minutes_text_clean\2007\fomcminutes-20070509_singleline.txt,92,0.14873
2007-06-28,minutes_text_clean\2007\fomcminutes-20070628_singleline.txt,91,0.299095
2007-08-07,minutes_text_clean\2007\fomcminutes-20070807_singleline.txt,87,0.214429
2007-09-18,minutes_text_clean\2007\fomcminutes-20070918_singleline.txt,93,0.081239
2008-01-30,minutes_text_clean\2008\fomcminutes-20080130_singleline.txt,99,-0.09392
2008-03-18,minutes_text_clean\2008\fomcminutes-20080318_singleline.txt,102,-0.102386
2008-04-30,minutes_text_clean\2008\fomcminutes-20080430_singleline.txt,102,-0.145354
2008-08-05,minutes_text_clean\2008\fomcminutes-20080805_singleline.txt,97,-0.009967
2008-09-16,minutes_text_clean\2008\fomcminutes-20080916_singleline.txt,104,-0.086666
2008-10-29,minutes_text_clean\2008\fomcminutes-20081029_singleline.txt,97,-0.113859
2008-12-16,minutes_text_clean\2008\fomcminutes-20081216_singleline.txt,96,-0.020073
2009-01-28,minutes_text_clean\2009\fomcminutes-20090128_singleline.txt,87,-0.032233
2009-03-18,minutes_text_clean\2009\fomcminutes-20090318_singleline.txt,97,0.003028
2009-04-29,minutes_text_clean\2009\fomcminutes-20090429_singleline.txt,95,-0.004261
2009-06-24,minutes_text_clean\2009\fomcminutes-20090624_singleline.txt,105,0.050408
2009-08-12,minutes_text_clean\2009\fomcminutes-20090812_singleline.txt,101,0.07324
2009-09-23,minutes_text_clean\2009\fomcminutes-20090923_singleline.txt,101,0.063157
2009-11-04,minutes_text_clean\2009\fomcminutes-20091104_singleline.txt,103,0.118006
2009-12-16,minutes_text_clean\2009\fomcminutes-20091216_singleline.txt,106,0.041597
2010-01-27,minutes_text_clean\2010\fomcminutes-20100127_singleline.txt,91,0.063514
2010-03-16,minutes_text_clean\2010\fomcminutes-20100316_singleline.txt,97,0.079747
2010-04-28,minutes_text_clean\2010\fomcminutes-20100428_singleline.txt,97,0.046523
2010-06-23,minutes_text_clean\2010\fomcminutes-20100623_singleline.txt,102,0.06229
2010-08-10,minutes_text_clean\2010\fomcminutes-20100810_singleline.txt,107,0.020984
2010-09-21,minutes_text_clean\2010\fomcminutes-20100921_singleline.txt,90,0.086386
